id,bPb-6318,3_1533,[105118],bPb-5672,bPb-0579,2_0121,FGX_OWB00334,1_0339,scssr04163,FGX_OWB00196,[221144],2_0593,bPb-6438,2_1094,bPb-3563,FGX_OWB00343,bPb-1085,scssr08447,2_0797,2_0742,bPb-2929,1_0391,2_0124,3_0342,[221563],2_1117,CDO542,3_0331,1_1500,3_0146,3_0825,bPb-0170,3_0167,1_0318,3_0182,FGX_OWB00498,[222906],[221535],[223608],rob,1_1261,DsT-74,[220848],2_1419,FGX_OWB00032,bPb-0678,[104913],2_0685,Ris44,bPb-3232,ThA1,leaf_var
OWB23,b,a,a,a,a,a,b,b,a,b,b,b,b,b,b,a,a,a,b,a,a,a,a,b,b,a,b,b,b,b,b,a,a,a,b,b,b,b,b,b,b,a,a,a,a,a,b,b,a,a,b,a
OWB24,a,b,b,b,b,b,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,b,b,a,a,b,b,a,b,b,b,b,a,a,a,a,a,a,b,b,a
OWB25,a,a,b,b,b,a,-,a,b,b,b,b,b,b,a,-,a,a,b,b,b,a,a,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,-
OWB26,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,b,b,b,a,a,b,b,a,a,b,a,a,b,-,b,b,b,a,a,b,b,a,b,b,a,a,a,a,a,a
OWB28,b,b,b,a,a,a,a,b,b,b,b,b,a,a,b,a,a,a,a,a,b,b,b,a,a,a,b,a,a,b,b,a,b,b,a,-,a,a,b,b,b,b,b,a,a,a,a,a,a,b,b,a
OWB29,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,a,a,b,b,b,a,a,b,b,b,a,a,b,a,a,b,b,b,b,b,b,b,a,a,a,a
OWB3,a,a,a,b,b,a,b,b,b,b,b,b,a,a,b,a,a,a,b,b,b,b,b,b,b,b,a,a,a,b,b,b,a,a,a,a,a,a,b,a,a,b,b,a,a,a,a,b,b,a,a,a
OWB30,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,a,a,a,b,a,b,a,b,b,a,a,a,a,b,b,b,b,-
OWB31,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,b,a,a,b,b,b,b,b,a,b,a,a,a,a,b,b,a,a,a,a,b,a,a,b,b,b,a,a,b,b,b,b,b,b,a,a,-
OWB32,a,a,a,a,a,a,b,b,b,b,b,a,a,a,a,a,a,a,b,a,a,a,a,a,b,a,b,b,b,b,b,b,a,a,a,a,b,b,b,a,a,b,b,a,a,b,a,a,b,b,a,a
OWB33,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,a,a,b,a,a,a,a,b,b,b,b,b,a,a,a,a,b,b,b,b,a,a,b,b,b,b,b,b,b,a,a,a,b,a,a,a
OWB34,a,a,a,b,b,b,b,b,b,a,a,a,a,a,b,b,a,a,b,a,a,b,b,b,a,a,b,b,b,a,a,b,a,a,a,a,b,a,b,a,a,b,b,a,b,b,b,b,b,b,b,a
OWB35,b,b,b,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,b,b,b,a,b,b,b,b,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a,b
OWB36,b,b,b,b,b,b,b,a,a,b,b,a,a,a,b,b,b,b,a,a,a,a,a,a,a,a,a,b,a,a,a,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b
OWB37,b,b,b,b,b,b,b,a,a,a,a,a,a,b,b,b,b,b,b,a,a,b,b,b,a,a,b,b,b,b,b,a,a,a,a,b,a,a,a,b,b,b,b,a,a,b,b,b,b,a,a,-
OWB38,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,a,a,b,b,a,b,b,b,b,a,b,b,a,a,a,a,b,b,a,a,a,a,-
OWB39,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,b,b,b,a,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,b,a
OWB4,b,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,a,a,a,b,b,a,b,b,a,a,a,a,a,b,b,b,b,a,a,a,b,a,b,b,b,a,a,a,a,a,a,a,b,b
OWB40,a,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,b,b,b,b,a,a,b,a,b,b,b,a,a,b,b,a,a,b,a,a,a,a,a,b,b,a,a,a,b,b,a,a,a,a
OWB41,a,a,b,b,b,a,a,a,-,b,a,a,a,a,b,b,a,-,a,a,a,a,a,b,b,a,a,a,b,a,a,a,a,b,b,b,a,a,b,a,a,b,b,a,a,b,a,a,a,b,b,-
OWB42,a,a,a,b,b,b,b,b,a,b,b,a,a,a,b,b,b,b,b,b,a,a,a,a,b,a,a,a,b,a,a,b,a,a,a,b,b,b,a,a,a,a,a,b,b,b,a,a,a,a,b,b
OWB43,b,b,b,a,a,a,b,b,a,b,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,a,a,b,b,b,b,a,a,a,a,b,b,b,b,b,a,a,a,-
OWB44,b,a,a,a,a,a,b,b,b,-,a,a,a,a,a,b,b,b,b,b,b,b,b,b,a,b,a,a,a,a,a,a,a,a,b,b,b,b,a,a,a,b,b,b,-,b,b,b,a,a,a,-
OWB45,b,b,b,b,b,a,a,b,b,a,a,a,a,a,b,b,a,a,b,b,b,b,b,a,b,b,b,b,b,b,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,-
OWB46,a,a,a,a,a,a,a,b,b,b,b,a,a,a,b,b,b,b,a,a,a,a,a,a,a,a,b,b,b,a,a,a,a,b,a,a,b,b,a,b,b,a,a,a,a,b,b,a,a,b,b,b
OWB47,a,b,b,b,b,b,b,b,b,a,a,b,a,a,a,a,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,a,a,a,a,b,a,a,a,a,b,b,b,a,a,b,a,a,b
OWB48,b,b,b,b,b,b,a,b,b,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,b,b,a,b,b,b,b,b,b,b,b,b,-,b,b,b,b,b,a,a,a,a,a,a,a,a,a
OWB49,b,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,a,a,b,b,a,a,a,a,a,b,b,b,a,a,b,a,a,a,b,b,b,b,a,a,a,b,b,b,b,b,a,a,b,b,b,a
OWB51,a,a,b,b,b,a,a,b,a,a,a,a,a,a,a,a,a,a,b,b,b,a,a,b,b,b,b,b,b,b,b,b,a,a,a,b,b,b,b,b,b,a,a,a,a,a,b,b,b,a,b,a
OWB52,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,a,a,b,b,a,a,a,a,a,a,a,b,b,a,a,b,-
OWB53,b,b,b,b,a,a,b,b,a,a,a,b,a,a,a,a,b,b,a,a,a,a,b,b,b,b,b,b,a,a,a,b,b,b,b,b,b,a,a,a,b,a,a,a,a,a,a,b,a,a,a,b
OWB54,b,b,b,b,b,b,b,b,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,b,a,b,a,a,a,b,b,a,a,a,a,-,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,a
OWB55,b,a,a,a,a,a,a,a,b,a,a,a,b,b,a,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,b,b,a,a,b,b,a,a,a,b,b,b,a
OWB56,a,a,a,a,a,a,-,b,b,b,b,b,b,b,b,-,a,a,a,a,a,a,b,b,a,a,a,a,b,b,b,a,b,b,b,-,a,a,b,a,a,b,b,a,-,b,b,b,a,a,a,-
OWB57,a,a,a,b,b,b,a,a,a,b,b,b,b,b,b,a,a,a,b,b,b,a,b,b,b,a,b,b,b,a,a,b,b,b,b,a,b,b,a,a,b,a,a,a,a,a,b,b,a,a,a,-
OWB59,a,b,b,b,b,b,b,b,a,a,a,a,b,a,a,b,b,b,a,a,a,a,a,a,a,a,b,a,a,a,b,b,a,a,b,b,b,b,a,b,b,a,a,b,a,a,b,b,a,b,b,-
OWB6,b,b,b,b,b,a,b,b,b,b,b,b,a,a,b,b,a,a,b,b,b,b,b,b,b,a,b,b,b,b,b,b,a,a,a,b,b,a,a,b,b,b,b,b,b,a,b,b,b,b,b,-
OWB60,b,a,a,a,a,a,a,a,b,b,b,b,b,b,b,a,b,b,b,b,a,a,a,b,a,a,b,b,b,b,b,a,b,b,a,a,b,a,a,b,a,b,b,a,b,a,a,b,a,a,a,b
OWB61,b,b,b,b,a,b,a,a,a,b,b,b,b,b,a,a,a,b,a,a,a,b,b,a,a,b,b,b,b,b,b,a,a,b,b,b,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,a
OWB63,b,b,b,b,b,b,a,a,a,b,b,b,b,b,b,b,b,b,b,a,a,b,b,a,b,b,b,b,a,a,a,b,b,b,a,a,a,a,a,b,b,a,b,a,a,a,a,a,a,a,a,-
OWB64,b,a,a,a,b,b,a,a,a,b,b,b,a,a,b,b,b,b,a,a,b,b,b,a,b,a,b,b,b,b,a,a,a,b,a,a,a,b,b,a,a,a,a,b,b,a,b,a,b,b,a,a
OWB65,a,a,a,a,a,a,-,a,a,b,a,a,b,b,b,b,b,b,a,b,b,b,b,b,b,a,b,b,b,b,b,b,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,b,b,a
OWB66,b,b,b,a,a,a,a,a,a,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,b,b,b,b,b,b,b,a,a,a,a,a,b,b,b,a,b,a,b,b,b
OWB67,b,b,a,a,a,a,b,a,a,b,b,b,b,b,b,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,a,a,a,a,a,b,b,a,a,a,a,a,a,-,b,b,b,b,a,a,-
OWB68,b,b,b,b,b,b,a,a,a,a,a,a,a,a,b,b,a,a,b,b,b,a,a,b,b,a,a,a,a,a,a,a,b,b,a,-,a,b,b,a,b,b,a,b,b,a,b,b,b,a,a,a
OWB69,a,a,b,b,b,b,b,a,b,b,a,a,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,a,a,a,b,b,a,a,a,a,a,b,a,a,b,b,a,a,a,a,a,b,b,b,a
OWB7,b,b,a,a,a,a,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,a,a,a,a,a,b,b,b,b,b,a,-,a,-,a,b,b,a,-,b,-,b,a,a,a,b,b,b
OWB70,b,b,b,a,a,a,a,b,b,a,a,b,b,b,b,b,b,b,a,a,a,a,a,a,b,b,b,b,b,b,b,a,b,b,a,-,b,b,b,b,b,a,a,a,a,a,a,b,b,b,b,b
OWB72,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,a,a,b,b,b,a,a,a,b,a,b,b,a,a,b,b,a,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,a,a,a,a,-
OWB73,b,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,b,b,a,a,a,a,a,b,a,a,b,b,b,b,b,b,b,b,a,a,b,a,a,b,b,a,a,a,a,a,a,a,b,a,a,b
OWB74,b,b,b,a,a,a,a,a,a,a,a,b,b,a,a,a,b,b,a,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b
OWB75,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,a,a,a,b,a,a,b,b,a,a,a,a,b,a,a,a,a,b,a,b,a,a,b,b,b,a,a,a,a,a,a,a,b,b,b,a
OWB76,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,a,a,b,b,b,b,a,a,a,b,b,b,b,a,b,b,b,a,a,a,a,a,a,a,b,b,a,a,a,b
OWB77,a,a,a,a,a,b,b,b,b,a,a,a,a,a,a,b,a,a,a,a,a,a,a,b,a,a,a,a,a,b,b,b,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,b,b,a
OWB78,a,a,a,b,b,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,b,b,b,a,a,b,-
OWB79,a,a,a,a,a,b,b,b,a,a,a,a,b,b,b,-,b,b,a,a,a,a,a,a,a,a,b,b,b,a,a,a,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,a,a,a,a
OWB8,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,b,b,b,a,b,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,a,b,b,a,a,b,b,b,b,b,b,a
OWB81,b,b,b,b,b,b,a,a,a,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,b,b,b,a,a,b,a,b,-,a,a,b,b,a,a,a,a,b,a,a,b,b,b,b
OWB82,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,b,a,b,b,a,a,b,b,a,a,a,a,a,b,b,b,b,b,-
OWB83,b,b,b,a,a,a,a,b,b,b,b,b,a,a,a,a,a,b,a,a,a,b,b,b,b,b,a,a,b,b,b,a,a,b,a,b,b,b,a,a,a,a,a,a,a,a,b,b,a,a,a,a
OWB84,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,a,a,a,a,a,b,a,a,a,b,b,b,b,a,a,b,a,b,a,b,a,b,b,b,b,b,b,b,b,a,b,a,a,b
OWB85,a,a,b,b,b,b,b,b,b,a,a,a,b,b,b,b,a,a,b,b,b,b,a,a,b,a,a,a,b,b,b,b,a,a,b,b,b,a,a,a,a,-,b,a,a,a,a,a,a,b,b,a
OWB86,a,a,a,a,a,a,a,a,a,b,b,a,a,a,b,b,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,b,a,a,b,b,a,a,b,b,a,b,-
OWB87,a,a,a,a,a,b,b,a,a,a,a,a,a,a,b,b,a,a,a,a,b,b,b,a,b,b,a,b,b,b,b,b,b,b,a,a,b,a,a,b,b,a,a,a,a,a,b,b,b,a,a,-
OWB89,a,a,a,a,a,a,a,a,b,b,b,a,a,a,a,a,b,b,b,b,b,b,b,a,a,a,a,a,a,a,a,a,a,b,a,a,b,b,b,b,b,a,a,a,a,a,b,b,b,b,b,-
OWB9,a,a,a,a,a,a,b,b,b,a,a,b,b,b,b,b,a,a,a,a,b,b,b,b,b,a,a,a,b,b,b,b,b,a,b,b,a,b,a,a,a,a,a,a,b,b,b,a,b,b,a,a
OWB90,a,a,b,b,b,a,a,b,b,a,a,a,a,a,a,b,b,b,b,b,b,a,a,b,a,a,a,a,a,b,b,b,b,a,b,b,-,a,a,a,a,b,b,b,b,b,a,a,a,b,b,-
OWB91,a,a,b,b,b,a,a,a,a,b,b,a,a,a,a,b,b,b,a,b,b,b,b,b,a,b,b,a,a,b,a,a,b,b,a,a,b,b,b,a,a,a,b,a,a,a,b,b,b,b,a,-
OWB92,b,b,b,b,b,b,a,a,b,b,b,b,a,a,a,a,a,a,b,a,a,a,a,b,a,a,a,a,a,b,b,a,b,b,a,b,b,b,a,a,a,a,a,b,b,a,b,b,b,a,a,-
OWB93,b,b,b,b,b,b,b,b,b,a,a,a,a,a,b,a,a,a,b,a,a,a,b,a,a,a,a,a,b,b,b,b,b,a,b,a,a,a,b,a,a,b,b,a,a,a,b,a,a,a,a,a
OWB94,a,a,a,a,a,b,b,b,b,a,a,b,b,b,a,a,a,a,b,b,b,a,a,a,a,a,b,b,b,b,b,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,a,a,a
